Emoji,Count,Neg Emoji,Neg Count,Pos Emoji,Pos Count
:eyes:,4,:cold_face:,1,:smiling_face_with_heart-eyes:,1
:right_arrow:,6,,,,
:fire:,4,,,,
:check_mark_button:,7,,,,
:clapping_hands:,4,,,,
:smiling_face_with_heart-eyes:,1,,,,
:raising_hands:,1,,,,
:red_heart:,2,,,,
:bomb:,1,,,,
:video_camera:,1,,,,
:cold_face:,1,,,,
:camera:,1,,,,
