Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",Total Neutral,Total Positive,Total Negative
"🌟💖GIVEAWAY💖🌟 Time to gather your gals together because we have the perfect Galentine’s gift for you and your #sparklesquad! ❤️✨ Head over to our Instagram (@LaCroixWater) for your chance to win! Giveaway ends tomorrow, February 6th at 7AM (EST). https//t.co/WJQx7F2Hum",O,M,,,
,+,M,,,
,+,M,,,
,O,M,,,
,+,M,,,
,O,M,,,
"💗💆‍♀️GIVEAWAY💆‍♀️💗 Self-love is always a good idea!✨ Treat yourself with these self love essentials that will keep you feeling good as you sip on your LaCroix, of course! 😋🌟 Head over to our Instagram (@LaCroixWater) for your chance to win! https//t.co/zhyQnzmWJ2",+,M,,,
,O,M,,,
,O,M,,,
,+,M,,,
,O,M,,,
,+,M,,,
,O,M,,,
Show some love to the women physicians in your life by tagging them down below! 👇💗✨ #NationalWomenPhysiciansDay (📸 @qwaniemusic) https//t.co/laCCy1pT3q,O,E,,,
,+,,,,
,O,,,,
,O,,,,
Your on-the-go looks just got more sparkly! 😍💖 Shop our LaCroix Can Tote now on our e-store here bit.ly/LACSTORE 🔗 https//t.co/1oii9keYxp,+,M,,,
,+,M,,,
,O,E,,,
Goals!😂💖 twitter.com/turbo_tims/sta…,+,E,,,
,+,,,,
@JohnBoardCT Enjoy🥰,+,E,,,
Cheers to good times with your sparkle BFF! 🌟💗 (📸 @lexi_fotop) https//t.co/Bl9IBRBzv9,O,E,,,
,+,,,,
,O,,,,
"Let your creativity sparkle on
#InspireYourHeartWithArtDay✨ (🖌️ @by__karina, @smallfunshop, @rosecolor.co, @elbakerart, @luckyeyeink) https//t.co/6joanz6Sws",O,E,,,
,O,,,,
"Pamp up your style with our Pamplemousse Pin! 💗🌟 Grab yours now on our e-store, link in bio🔗 https//t.co/EjImh6XkeM",+,M,,,
,O,,,,
,O,,,,
Show some love to your #sparklesquad today by tagging them down below! 👇💖 (📸 @tabitha_rountree) https//t.co/bZnzFbrwiZ,O,E,,,
,+,,,,
,O,,,,
The only Saturday fuel you need ☕✨ https//t.co/UZ1SftbdFf,O,E,,,
,O,,,,
"✨🧩GIVEAWAY🧩✨ Calling all puzzle lovers, this one’s for you! 💖 To celebrate #NationalPuzzleDay we’re giving away these special LaCroix puzzles to 64 random lucky fans! 🌟 Head over to our Instagram (@LaCroixWater) for your chance to win! Giveaway ends January 30th 11am (EST) https//t.co/nj5Yyb54Y8",O,M and E,,,
,O,,,,
